dienststelle,code,lat,lon,notiz,genauigkeit
K-04,7018,50.95593,6.96900,Kreuzung Riehler Str./Elsa-Brändström-Str. (OSM-Knoten); Geocoder lag 750 m daneben,manuell
K-04,7019,50.95593,6.96900,Kreuzung Riehler Str./Elsa-Brändström-Str. (OSM-Knoten); Geocoder lag 750 m daneben,manuell
K-04,7020,50.95588,6.96887,"Kreuzung Amsterdamer Str./Riehler Str. (OSM-Knoten); Geocoder lag 2,5 km daneben",manuell
K-04,7021,50.95575,6.96901,Kreuzung Elsa-Brändström-Str./Riehler Str. (OSM-Knoten),manuell
K-04,7022,50.96953,6.97849,Kreuzung Boltensternstr./Barbarastr. (OSM-Knoten); Geocoder lag 540 m daneben,manuell
K-04,7043,50.97788,6.85100,"Venloer Str. (B 59) über der A 1, Anschlussstelle Köln-Bocklemünd (OSM); Geocoder lag 1 km daneben",manuell
K-04,7044,50.97788,6.85100,"Venloer Str. (B 59) über der A 1, Anschlussstelle Köln-Bocklemünd (OSM); Geocoder lag 1 km daneben",manuell
K-04,7045,50.97788,6.85100,"Venloer Str. (B 59) über der A 1, Anschlussstelle Köln-Bocklemünd (OSM); Geocoder lag 1 km daneben",manuell
K-04,7046,50.96953,6.97849,Kreuzung Boltensternstr./Barbarastr. (OSM-Knoten); Geocoder lag 540 m daneben,manuell
K-04,7047,50.98968,6.99868,"Düsseldorfer Str. 491, gegenüber (OSM-Adresse = Geocoder)",manuell
K-04,7048,50.98968,6.99868,Düsseldorfer Str. 491 (OSM-Adresse = Geocoder),manuell
K-04,7049,50.98899,6.99902,Stammheimer Ring 17 (OSM-Adresse = Geocoder),manuell
K-04,7050,50.98933,7.00011,"Dünnwalder Kommunalweg 6, gegenüber (OSM-Adresse; „Dünnw.“ in der Quelle abgekürzt)",manuell
S-01,0002,50.94751,7.00667,"B 55a an der Auffahrt Waldecker Str., Richtung Zoobrücke (OSM-Kreuzungspunkt B 55a/Waldecker Str.)",manuell
S-01,0005,50.95925,6.96350,"Innere Kanalstr. Höhe Lentstr. (Standortlisten: „Höhe Lentstraße, Richtung Zoobrücke“; Laternen 176/177), Spur Richtung Niehler Str.",manuell
S-01,0006,50.95621,6.95246,"Innere Kanalstr. vor dem Finanzamt Köln-Nord (Innere Kanalstr. 214, OSM), Richtung Ehrenfeld",manuell
S-01,0007,50.95401,6.94494,"Innere Kanalstr. zwischen Escher Str. und Hornstr. (OSM-Knoten, Mitte, ±250 m), Richtung Süden",manuell
S-01,0008,50.95401,6.94494,"Innere Kanalstr. zwischen Hornstr. und Escher Str. (OSM-Knoten, Mitte, ±250 m), Richtung Zoobrücke",manuell
S-01,0009,50.95621,6.95246,"Innere Kanalstr. vor dem Finanzamt Köln-Nord (Innere Kanalstr. 214, OSM), Richtung Zoobrücke",manuell
S-01,0010,50.95925,6.96350,"Innere Kanalstr. Höhe Lentstr. (Standortlisten: „Höhe Lentstraße, Richtung Zoobrücke“; Laternen 176/177)",manuell
S-01,0011,50.93072,6.96789,"Severinsbrücke, Brückenmitte (OSM); genaue Stelle auf der Brücke unbekannt (±400 m)",strasse
S-01,0015,50.94885,7.01915,"B 55a zwischen Ab- und Auffahrt Frankfurter Str., Richtung Köln-Ost/Olpe (Pressemitteilung Stadt Köln 14.08.2025; OSM-Kreuzungspunkt)",manuell
