dienststelle,code,ort,lage,richtung,genauigkeit,lat,lon,gefunden_als,osm_link,osm_methode,osm_lat,osm_lon,abstand_osm_m,abstand_strasse_m,stadtteil_laut_ort,stadtteil_des_punkts,pruefen,osm_link_abgleich,manuell
K-04,7018,Riehler Straße,Kreuzung Elsa-Brändström-Str.,in Fahrtrichtung Riehl,strasse,50.960022,6.977442,"Riehler Straße, 50735 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.960022&mlon=6.977442#map=18/50.960022/6.977442,osm_kreuzung Elsa-Brändström-Straße,50.955927,6.969,747,0,,Riehl,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 747 m von OSM-Kreuzung,https://www.openstreetmap.org/?mlat=50.955927&mlon=6.969000#map=18/50.955927/6.969000,"50.95593,6.96900 · Kreuzung Riehler Str./Elsa-Brändström-Str. (OSM-Knoten); Geocoder lag 750 m daneben"
K-04,7019,Riehler Straße,Kreuzung Elsa-Brändström-Str.,in Fahrtrichtung Ebertplatz,strasse,50.960022,6.977442,"Riehler Straße, 50735 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.960022&mlon=6.977442#map=18/50.960022/6.977442,osm_kreuzung Elsa-Brändström-Straße,50.955927,6.969,747,0,,Riehl,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 747 m von OSM-Kreuzung,https://www.openstreetmap.org/?mlat=50.955927&mlon=6.969000#map=18/50.955927/6.969000,"50.95593,6.96900 · Kreuzung Riehler Str./Elsa-Brändström-Str. (OSM-Knoten); Geocoder lag 750 m daneben"
K-04,7020,Amsterdamer Straße,Kreuzung Riehler Straße,Fahrtrichtung Elsa-Brändström-Str.,strasse,50.978321,6.968524,"Amsterdamer Straße, 50735 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.978321&mlon=6.968524#map=18/50.978321/6.968524,osm_kreuzung Riehler Straße,50.955877,6.968871,2497,0,Riehl,Niehl,"feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 2497 m von OSM-Kreuzung; liegt in Niehl, nicht in Riehl",https://www.openstreetmap.org/?mlat=50.955877&mlon=6.968871#map=18/50.955877/6.968871,"50.95588,6.96887 · Kreuzung Amsterdamer Str./Riehler Str. (OSM-Knoten); Geocoder lag 2,5 km daneben"
K-04,7021,Elsa-Brändström-Straße,Kreuzung Riehler Straße,in Fahrtrichtung AS Zoobrücke,strasse,50.954968,6.969906,"Elsa-Brändström-Straße, 50668 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.954968&mlon=6.969906#map=18/50.954968/6.969906,osm_kreuzung Riehler Straße,50.955754,6.969006,108,0,Riehl,Neustadt/Nord,"feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; liegt in Neustadt/Nord, nicht in Riehl",https://www.openstreetmap.org/?mlat=50.955754&mlon=6.969006#map=18/50.955754/6.969006,"50.95575,6.96901 · Kreuzung Elsa-Brändström-Str./Riehler Str. (OSM-Knoten)"
K-04,7022,Boltensternstraße,"in Höhe Barbarastr.,Köln-Riehl",in Fahrtrichtung Industriestraße,strasse,50.973924,6.97515,"Boltensternstraße, 50735 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.973924&mlon=6.975150#map=18/50.973924/6.975150,osm_kreuzung Barbarastraße,50.96953,6.978495,542,0,Riehl,Niehl,"feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 542 m von OSM-Kreuzung; liegt in Niehl, nicht in Riehl",https://www.openstreetmap.org/?mlat=50.969530&mlon=6.978495#map=18/50.969530/6.978495,"50.96953,6.97849 · Kreuzung Boltensternstr./Barbarastr. (OSM-Knoten); Geocoder lag 540 m daneben"
K-04,7043,Venloer Straße (B59),Anschlussstelle BAB 1,in Fahrtrichtung Koblenz,strasse,50.97316,6.862901,"Venloer Straße, Bocklemünd, 50829 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.973160&mlon=6.862901#map=18/50.973160/6.862901,osm_strasse (±4790 m),50.961173,6.892625,2475,0,,Bocklemünd/Mengenich,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.961173&mlon=6.892625#map=18/50.961173/6.892625,"50.97788,6.85100 · Venloer Str. (B 59) über der A 1, Anschlussstelle Köln-Bocklemünd (OSM); Geocoder lag 1 km daneben"
K-04,7044,Venloer Straße (B59),Anschlussstelle BAB 1,in Fahrtrichtung Pulheim,strasse,50.97316,6.862901,"Venloer Straße, Bocklemünd, 50829 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.973160&mlon=6.862901#map=18/50.973160/6.862901,osm_strasse (±4790 m),50.961173,6.892625,2475,0,,Bocklemünd/Mengenich,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.961173&mlon=6.892625#map=18/50.961173/6.892625,"50.97788,6.85100 · Venloer Str. (B 59) über der A 1, Anschlussstelle Köln-Bocklemünd (OSM); Geocoder lag 1 km daneben"
K-04,7045,Venloer Straße (B59),Anschlussstelle BAB 1,in Fahrtrichtung Köln,strasse,50.97316,6.862901,"Venloer Straße, Bocklemünd, 50829 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.973160&mlon=6.862901#map=18/50.973160/6.862901,osm_strasse (±4790 m),50.961173,6.892625,2475,0,,Bocklemünd/Mengenich,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.961173&mlon=6.892625#map=18/50.961173/6.892625,"50.97788,6.85100 · Venloer Str. (B 59) über der A 1, Anschlussstelle Köln-Bocklemünd (OSM); Geocoder lag 1 km daneben"
K-04,7046,Boltensternstraße,"in Höhe Barbarastr.,Köln-Riehl",in Fahrtrichtung An der Schanz,strasse,50.973924,6.97515,"Boltensternstraße, 50735 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.973924&mlon=6.975150#map=18/50.973924/6.975150,osm_kreuzung Barbarastraße,50.96953,6.978495,542,0,Riehl,Niehl,"feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 542 m von OSM-Kreuzung; liegt in Niehl, nicht in Riehl",https://www.openstreetmap.org/?mlat=50.969530&mlon=6.978495#map=18/50.969530/6.978495,"50.96953,6.97849 · Kreuzung Boltensternstr./Barbarastr. (OSM-Knoten); Geocoder lag 540 m daneben"
K-04,7047,Düsseldorfer Straße (B8),"ggü. Haus Nr.491, Stammheim",in Fahrtr.Friedrich-Ebert-Str.(Lev),hausnummer,50.989691,6.998676,"Düsseldorfer Straße 491, 51061 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.989691&mlon=6.998676#map=18/50.989691/6.998676,osm_hausnummer 491,50.989677,6.998676,2,41,Stammheim,Stammheim,feste Anlage/Kreuzung: einzeln prüfen,https://www.openstreetmap.org/?mlat=50.989677&mlon=6.998676#map=18/50.989677/6.998676,"50.98968,6.99868 · Düsseldorfer Str. 491, gegenüber (OSM-Adresse = Geocoder)"
K-04,7048,Düsseldorfer Straße (B8),"in Höhe Haus Nr.491, Stammheim",in Fahrtrichtung Clevischer Ring,hausnummer,50.989691,6.998676,"Düsseldorfer Straße 491, 51061 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.989691&mlon=6.998676#map=18/50.989691/6.998676,osm_hausnummer 491,50.989677,6.998676,2,41,Stammheim,Stammheim,feste Anlage/Kreuzung: einzeln prüfen,https://www.openstreetmap.org/?mlat=50.989677&mlon=6.998676#map=18/50.989677/6.998676,"50.98968,6.99868 · Düsseldorfer Str. 491 (OSM-Adresse = Geocoder)"
K-04,7049,Stammheimer Ring,"in Höhe Haus Nr.17, Stammheim",in Fahrtr. Dünnwalder Kommunalweg,hausnummer,50.988993,6.999022,"Stammheimer Ring 17, 51061 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.988993&mlon=6.999022#map=18/50.988993/6.999022,osm_hausnummer 17,50.988993,6.999022,0,40,Stammheim,Stammheim,feste Anlage/Kreuzung: einzeln prüfen,https://www.openstreetmap.org/?mlat=50.988993&mlon=6.999022#map=18/50.988993/6.999022,"50.98899,6.99902 · Stammheimer Ring 17 (OSM-Adresse = Geocoder)"
K-04,7050,Dünnw. Kommunalweg (L101),"gegenüber Haus Nr.6, Stammheim",in Fahrtrichtung Stammheimer Ring,strasse,50.989351,7.000098,"Dünnwalder Kommunalweg 6, 51061 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.989351&mlon=7.000098#map=18/50.989351/7.000098,osm_hausnummer 6,50.989333,7.000107,2,31,Stammheim,Stammheim,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,https://www.openstreetmap.org/?mlat=50.989333&mlon=7.000107#map=18/50.989333/7.000107,"50.98933,7.00011 · Dünnwalder Kommunalweg 6, gegenüber (OSM-Adresse; „Dünnw.“ in der Quelle abgekürzt)"
S-01,0002,Bundesstraße 55a,Höhe Waldecker Straße,in Fahrtrichtung Zoobrücke,strasse,50.951983,7.004726,"Waldecker Straße, 51065 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.951983&mlon=7.004726#map=18/50.951983/7.004726,nicht_in_osm,,,,,,Buchforst,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse,,"50.94751,7.00667 · B 55a an der Auffahrt Waldecker Str., Richtung Zoobrücke (OSM-Kreuzungspunkt B 55a/Waldecker Str.)"
S-01,0005,Neustadt/Nord,Innere Kanalstr.zw Lat177-176,in Fahrtrichtung Niehler Str.,stadtteil,50.947923,6.941061,"Neustadt/Nord, Köln, NW, Deutschland",https://www.openstreetmap.org/?mlat=50.947923&mlon=6.941061#map=18/50.947923/6.941061,osm_strasse (±2310 m),50.953897,6.942759,675,363,Neustadt/Nord,Neustadt/Nord,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=stadtteil; 363 m neben der Straße,https://www.openstreetmap.org/?mlat=50.953897&mlon=6.942759#map=18/50.953897/6.942759,"50.95925,6.96350 · Innere Kanalstr. Höhe Lentstr. (Standortlisten: „Höhe Lentstraße, Richtung Zoobrücke“; Laternen 176/177), Spur Richtung Niehler Str."
S-01,0006,Innere Kanalstraße,Höhe Finanzamt Köln-Nord,in Fahrtrichtung Ehrenfeld,strasse,50.956611,6.95355,"Innere Kanalstraße, 50733 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.956611&mlon=6.953550#map=18/50.956611/6.953550,osm_strasse (±2310 m),50.953897,6.942759,815,0,,Nippes,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; Name mehrdeutig,https://www.openstreetmap.org/?mlat=50.953897&mlon=6.942759#map=18/50.953897/6.942759,"50.95621,6.95246 · Innere Kanalstr. vor dem Finanzamt Köln-Nord (Innere Kanalstr. 214, OSM), Richtung Ehrenfeld"
S-01,0007,Innere Kanalstraße,Höhe Escher Straße / Hornstr.,in Fahrtrichtung Süden,strasse,50.956611,6.95355,"Innere Kanalstraße, 50733 Köln, Deutschland",https://www.openstreetmap.org/?mlat=50.956611&mlon=6.953550#map=18/50.956611/6.953550,osm_kreuzung Escher Straße,50.954827,6.948039,435,0,,Nippes,feste Anlage/Kreuzung: einzeln prüfen; genauigkeit=strasse; 435 m von OSM-Kreuzung,https://www.openstreetmap.org/?mlat=50.954827&mlon=6.948039#map=18/50.954827/6.948039,"50.95401,6.94494 · Innere Kanalstr. zwischen Escher Str. und Hornstr. (OSM-Knoten, Mitte, ±250 m), Richtung Süden"
