0001;3;050;050;01   Bundesstraße 55a         ;Frankfurter Straße vor Tunnel ;in Fahrtrichtung Deutz             ;   ;
0002;3;080;060;02   Bundesstraße 55a         ;Höhe Waldecker Straße         ;in Fahrtrichtung Zoobrücke         ;   ;
0003;3;050;050;03   Zoobrücke                ;Höhe Auenweg                  ;in Fahrtrichtung Nippes            ;   ;
0004;3;080;080;04   Zoobrücke                ;Strommitte                    ;in Fahrtrichtung linksrheinisch    ;   ;
0005;0;050;050;05   Neustadt/Nord            ;Innere Kanalstr.zw Lat177-176 ;in Fahrtrichtung Niehler Str.      ;   ;
0006;0;050;050;06   Innere Kanalstraße       ;Höhe Finanzamt Köln-Nord      ;in Fahrtrichtung Ehrenfeld         ;   ;
0007;0;050;050;07   Innere Kanalstraße       ;Höhe Escher Straße / Hornstr. ;in Fahrtrichtung Süden             ;   ;
0008;0;050;050;08   Innere Kanalstraße       ;Höhe Hornstr. / Escher Straße ;in Fahrtrichtung Zoobrücke         ;   ;
0009;0;050;050;09   Innere Kanalstraße       ;Höhe Finanzamt Köln-Nord      ;in Fahrtrichtung Zoobrücke         ;   ;
0010;0;050;050;10   Neustadt/Nord            ;Innere Kanalstr.zw.Lat177-176 ;in Fahrtrichtung Zoobrücke         ;   ;
0011;3;050;050;11   Severinsbrücke           ;                              ;in Fahrtrichtung Deutz             ;   ;
0012;3;050;050;12   Zoobrücke                ;Höhe Sachsenbergstrasse       ;in Fahrtrichtung Kalk              ;   ;
0013;3;080;080;13   Zoobrücke                ;Höhe Auenweg                  ;in Fahrtrichtung Kalk              ;   ;
0014;0;050;050;14   Riehl                    ;An der Schanz, Höhe Haus Nr.2 ;in Fahrtrichtung Norden            ;   ;
0015;3;080;060;15   Bundesstraße 55 a        ;Höhe Ausfahrt Frankfurter Str.;in Fahrtrichtung Olpe              ;   ;
0016;0;050;050;16   Aachener Straße          ;Höhe Aachener Weiher geg.130  ;in Fahrtrichtung stadtauswärts     ;   ;
0017;0;050;050;17   Aachener Straße          ;Höhe Aachener Weiher          ;in Fahrtrichtung stadteinwärts     ;   ;
0023;2;030;030;23   Chorweiler               ;Willi-Suth-Allee              ;in Fahrtrichtung Bezirksportanlage ;   ;
0024;2;030;030;24   Chorweiler               ;Willi-Suth-Allee              ;in Fahrtrichtung Autobahn 57       ;   ;
0025;0;050;050;25   Riehl                    ;Boltensternstraße in Höhe SBK ;in Fahrtrichtung Barbarastraße     ;   ;
0026;0;050;050;26   Riehl                    ;Boltensternstraße in Höhe SBK ;in Fahrtrichtung An der Schanz     ;   ;
0027;2;030;030;27   Bilderstöckchen          ;Escher Straße Höhe Haus-Nr.154;in Fahrtrichtung Parkgürtel        ;   ;
0028;2;030;030;28   Bilderstöckchen          ;Escher Straße ggü. Haus-Nr.146;in Fahrtrichtung Geldernstraße     ;   ;
0029;0;050;050;29   Holweide                 ;Bergisch Gladbacher Straße    ;Höhe Steyler Str., in FR. Mülheim  ;   ;
0030;3;050;050;30   Godorf                   ;Godorfer Hauptstr., Höhe Otto-;Hahn-Str., in FR. Immendorfer Str. ;   ;
0031;2;030;030;31   Holweide                 ;Neufelder Straße              ;Höhe Krankenhaus in FR. Schwabstr. ;   ;
0032;2;030;030;32   Müngersdorf              ;Wendelinstraße, Höhe Schule   ;in Fahrtrichtung Vitalisstraße     ;   ;
0033;2;030;030;33   Neubrück                 ;Europaring, Höhe Haus Nr.7    ;in Fahrtrichtung Ernst-Reuter-Str. ;   ;
0034;3;070;070;34   Zollstock                ;Militärringstraße             ;Höhe Am Eifeltor, in FR. Marienburg;   ;
0035;0;050;050;35   Raderthal                ;Raderthalgürtel, Höhe Lat.28  ;in Fahrtrichtung Vorgebirgstraße   ;   ;
0036;2;030;030;36   Höhenhaus                ;Honschaftsstraße, Höhe Schule ;in Fahrtrichtung Am Pfropfbusch    ;   ;
0037;2;030;030;37   Bilderstöckchen          ;Schiefersburger Weg ggü. Hs 40;in Fahrtrichtung Longericher Straße;   ;
0038;2;030;030;38   Vogelsang                ;Vogelsanger Straße            ;Höhe Grundschule in FR. Bickendorf ;   ;
0039;2;030;030;39   Brück                    ;Brücker Mauspfad              ;Höhe BAB-Brücke, in FR. Porz       ;   ;
0040;2;030;030;40   Bilderstöckchen          ;Schiefersburger Weg ggü. Hs 40;in Fahrtrichtung Escher Straße     ;   ;
0041;2;030;030;41   Dellbrück                ;Paffrather Str. Höhe Hs-Nr. 34;in Fahrtrichtung Waltherstr.       ;   ;
0042;2;030;030;42   Dellbrück                ;Paffrather Str. Höhe Hs-Nr. 34;in FR. Bergisch Gladbach-Hand      ;   ;
0051;2;030;030;51   Lindenthal               ;Bachemer Straße, Höhe Haus 82 ;in Fahrtrichtung Gleueler Straße   ;   ;
0052;2;020;020;52   Dellbrück                ;Dellbrücker Hauptstr., Höhe 95;in Fahrtrichtung Mielenforster Str.;   ;
0053;2;020;020;53   Dellbrück                ;Dellbrücker Hauptstr., Höhe 95;in Fahrtr. Bergisch-Gladbacher Str.;   ;
0054;2;030;030;54   Ossendorf                ;Butzweilerhofallee Höhe Nr.53 ;in Fahrtr.Butzweilerstr.           ;   ;
0055;2;030;030;55   Ossendorf                ;Butzweilerhofallee Höhe Nr.53 ;in Fahrtr. Von-Hünefeld-Str.       ;   ;
0059;2;030;030;59   Neustadt/Nord            ;Kaiser-Wilhelm-Ring 27-29     ;in Fahrtrichtung Ebertplatz        ;   ;
0060;2;030;030;60   Neustadt/Nord            ;Kaiser-Wilhelm-Ring 21-17     ;in Fahrtrichtung Rudolfplatz       ;   ;
0061;2;030;030;61   Neustadt/Nord            ;Kaiser-Wilhelm-Ring 17-21     ;in Fahrtrichtung Christophstraße   ;   ;
0062;2;030;030;62   Neustadt/Nord            ;Hansaring 52                  ;in Fahrtrichtung Ebertplatz        ;   ;
0063;2;030;030;63   Mülheim                  ;Auenweg 173                   ;Fahrtrichtung Deutz-Mülheimer Str. ;   ;
0064;2;030;030;64   Mülheim                  ;Auenweg 173                   ;in Fahrtrichtung Deutz             ;   ;
0095;3;060;060;95   BAB 4,                   ;I.H.AS Köln-Eifeltor          ;in Fahrtrichtung Aachen            ;   ;
0096;3;060;060;96   BAB 4,                   ;i.H.AS Köln-Eifeltor          ;in Fahrtrichtung Olpe              ;   ;
0097;3;060;060;97   BAB 4,                   ;i.H.AS Köln-Eifeltor          ;Ausfahrt Am Eifeltor               ;   ;
0971;3;060;060;971  BAB 1, km 407,075 (MQ1)  ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   ;
0972;3;060;060;972  BAB 1, km 407,075 (MQ1)  ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   ;
0973;3;060;060;973  BAB 1, km 407,075 (MQ1)  ;Rheinbrücke in Höhe Rheinauen ;in Fahrtrichtung Dortmund          ;   ;
0981;3;060;060;981  BAB 1, km 406,750 (MQ2)  ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   ;
0982;3;060;060;982  BAB 1, km 406,750 (MQ2)  ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   ;
0983;3;060;060;983  BAB 1, km 406,750 (MQ2)  ;Rheinbrücke, Strommitte       ;in Fahrtrichtung Dortmund          ;   ;
