AccountID;Monat;AC;PY;PL;FC_FY;PL_FY
401010;2026-01;228.6;203.7;225.9;2835.3;2901.0
401010;2026-02;236.0;210.3;233.2;2835.3;2901.0
401010;2026-03;250.7;223.5;247.7;2835.3;2901.0
401010;2026-04;258.1;230.0;255.0;2835.3;2901.0
401010;2026-05;243.4;216.9;240.4;2835.3;2901.0
401010;2026-06;258.1;230.1;255.0;2835.3;2901.0
402000;2026-01;22.4;21.4;22.4;287.5;287.0
402000;2026-02;23.2;22.1;23.1;287.5;287.0
402000;2026-03;24.6;23.5;24.5;287.5;287.0
402000;2026-04;25.3;24.2;25.3;287.5;287.0
402000;2026-05;23.9;22.8;23.8;287.5;287.0
402000;2026-06;25.3;24.3;25.2;287.5;287.0
402010;2026-01;10.2;9.4;9.9;131.3;128.0
402010;2026-02;10.5;9.7;10.2;131.3;128.0
402010;2026-03;11.2;10.3;10.9;131.3;128.0
402010;2026-04;11.5;10.6;11.2;131.3;128.0
402010;2026-05;10.8;10.0;10.6;131.3;128.0
402010;2026-06;11.5;10.7;11.2;131.3;128.0
550010;2026-01;39.3;34.4;36.7;500.1;486.7
550010;2026-02;40.5;35.6;37.8;500.1;486.7
550010;2026-03;43.1;37.8;40.2;500.1;486.7
550010;2026-04;44.3;38.9;41.4;500.1;486.7
550010;2026-05;41.8;36.7;39.0;500.1;486.7
550010;2026-06;44.4;38.8;41.4;500.1;486.7
550020;2026-01;26.6;25.8;26.5;339.1;330.0
550020;2026-02;27.5;26.6;27.3;339.1;330.0
550020;2026-03;29.2;28.3;29.1;339.1;330.0
550020;2026-04;30.1;29.1;29.9;339.1;330.0
550020;2026-05;28.3;27.5;28.2;339.1;330.0
550020;2026-06;30.1;29.1;29.9;339.1;330.0
550030;2026-01;9.1;8.7;9.3;116.4;113.3
550030;2026-02;9.4;9.0;9.6;116.4;113.3
550030;2026-03;10.0;9.6;10.3;116.4;113.3
550030;2026-04;10.3;9.8;10.6;116.4;113.3
550030;2026-05;9.7;9.3;9.9;116.4;113.3
550030;2026-06;10.5;9.8;10.6;116.4;113.3
F_GROSSPROFIT;2026-01;;;;;
K_GROSSMARGIN;2026-01;;;;;
