AccountID;Monat;AC;PY;PL;FC
r_prod;2026-01;1367;1267;1417;1392
r_prod;2026-02;1367;1267;1417;1392
r_prod;2026-03;1367;1267;1417;1392
r_prod;2026-04;1367;1267;1417;1392
r_prod;2026-05;1367;1267;1417;1392
r_prod;2026-06;1365;1265;1415;1390
r_svc;2026-01;517;467;483;525
r_svc;2026-02;517;467;483;525
r_svc;2026-03;517;467;483;525
r_svc;2026-04;517;467;483;525
r_svc;2026-05;517;467;483;525
r_svc;2026-06;515;465;485;525
oi;2026-01;40;35;33;42
oi;2026-02;40;35;33;42
oi;2026-03;40;35;33;42
oi;2026-04;40;35;33;42
oi;2026-05;40;35;33;42
oi;2026-06;40;35;35;40
mat;2026-01;650;600;617;658
mat;2026-02;650;600;617;658
mat;2026-03;650;600;617;658
mat;2026-04;650;600;617;658
mat;2026-05;650;600;617;658
mat;2026-06;650;600;615;660
pers_w;2026-01;433;408;417;442
pers_w;2026-02;433;408;417;442
pers_w;2026-03;433;408;417;442
pers_w;2026-04;433;408;417;442
pers_w;2026-05;433;408;417;442
pers_w;2026-06;435;410;415;440
pers_s;2026-01;87;80;83;88
pers_s;2026-02;87;80;83;88
pers_s;2026-03;87;80;83;88
pers_s;2026-04;87;80;83;88
pers_s;2026-05;87;80;83;88
pers_s;2026-06;85;80;85;90
mkt;2026-01;107;98;117;110
mkt;2026-02;107;98;117;110
mkt;2026-03;107;98;117;110
mkt;2026-04;107;98;117;110
mkt;2026-05;107;98;117;110
mkt;2026-06;105;100;115;110
it;2026-01;80;68;75;78
it;2026-02;80;68;75;78
it;2026-03;80;68;75;78
it;2026-04;80;68;75;78
it;2026-05;80;68;75;78
it;2026-06;80;70;75;80
da;2026-01;63;60;63;63
da;2026-02;63;60;63;63
da;2026-03;63;60;63;63
da;2026-04;63;60;63;63
da;2026-05;63;60;63;63
da;2026-06;65;60;65;65
fin;2026-01;-16;-13;-15;-17
fin;2026-02;-16;-13;-15;-17
fin;2026-03;-16;-13;-15;-17
fin;2026-04;-16;-13;-15;-17
fin;2026-05;-16;-13;-15;-17
fin;2026-06;-15;-15;-15;-15
tax;2026-01;52;48;53;55
tax;2026-02;52;48;53;55
tax;2026-03;52;48;53;55
tax;2026-04;52;48;53;55
tax;2026-05;52;48;53;55
tax;2026-06;50;50;55;55
ebitda;2026-01;;;;
m_ebitda;2026-01;;;;
ebit;2026-01;;;;
ebt;2026-01;;;;
ni;2026-01;;;;
m_ni;2026-01;;;;
